DISABLED -- REPRICING ADJUSTMENTS TO THE 2008-2012 REIMSURSEMENT DATA FOR FEE-FOR-SERVICE DURABLE MEDICAL EQUIPMENT,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,
05580,CALIFORNIA               ,SOLANO,0,-379,-518,-653,"-1,004",
05590,CALIFORNIA               ,SONOMA,"-23,706","-20,674","-12,568","-11,469","-19,176",
05600,CALIFORNIA               ,STANISLAUS,0,0,0,0,0,
05610,CALIFORNIA               ,SUTTER,0,0,-219,-193,0,
05620,CALIFORNIA               ,TEHAMA,0,0,0,0,0,
05630,CALIFORNIA               ,TRINITY,0,0,0,0,0,
05640,CALIFORNIA               ,TULARE,"-951,844","-746,579","-818,071","-789,315","-809,322",
05650,CALIFORNIA               ,TUOLUMNE,0,0,0,0,0,
05660,CALIFORNIA               ,VENTURA,"-642,960","-572,246","-586,263","-633,988","-604,642",
05670,CALIFORNIA               ,YOLO,"-119,098","-98,574","-93,579","-84,457","-81,807",
05680,CALIFORNIA               ,YUBA,0,0,0,0,0,
06000,COLORADO                 ,ADAMS,"-539,982","-419,754","-435,576","-471,898","-484,510",
06010,COLORADO                 ,ALAMOSA,0,0,0,0,0,
06020,COLORADO                 ,ARAPAHOE,"-575,176","-391,709","-468,497","-501,951","-466,960",
06030,COLORADO                 ,ARCHULETA,0,0,0,0,0,
06040,COLORADO                 ,BACA,0,0,0,0,0,
06050,COLORADO                 ,BENT,0,0,0,0,0,
06060,COLORADO                 ,BOULDER,-259,0,0,0,-914,
06070,COLORADO                 ,CHAFFEE,0,0,0,0,0,
06080,COLORADO                 ,CHEYENNE,0,0,0,0,0,
06090,COLORADO                 ,CLEAR CREEK,"-1,989",-684,"-1,043","-1,123","-1,112",
06100,COLORADO                 ,CONEJOS,0,0,0,0,0,
06110,COLORADO                 ,COSTILLA,0,0,0,0,0,
06120,COLORADO                 ,CROWLEY,0,0,0,0,0,
06130,COLORADO                 ,CUSTER,0,0,0,0,0,
06140,COLORADO                 ,DELTA,0,0,0,0,0,
06150,COLORADO                 ,DENVER,"-706,347","-519,323","-513,005","-521,893","-497,650",
06160,COLORADO                 ,DOLORES,0,0,0,0,0,
06170,COLORADO                 ,DOUGLAS,"-112,495","-106,336","-89,856","-107,799","-104,350",
06180,COLORADO                 ,EAGLE,0,0,0,0,0,
06190,COLORADO                 ,ELBERT,"-6,538","-3,866","-3,844","-6,932","-5,445",
06200,COLORADO                 ,EL PASO,"-997,778","-725,044","-771,927","-852,484","-869,423",
06210,COLORADO                 ,FREMONT,0,0,0,0,0,
06220,COLORADO                 ,GARFIELD,0,0,0,0,0,
06230,COLORADO                 ,GILPIN,"-8,577","-6,877","-8,966","-8,066","-5,103",
06240,COLORADO                 ,GRAND,0,0,0,0,0,
06250,COLORADO                 ,GUNNISON,0,0,0,0,0,
06260,COLORADO                 ,HINSDALE,0,0,0,0,0,
06270,COLORADO                 ,HUERFANO,0,0,0,0,0,
06280,COLORADO                 ,JACKSON,0,0,0,0,0,
06290,COLORADO                 ,JEFFERSON,"-538,329","-395,641","-420,508","-421,337","-417,065",
06300,COLORADO                 ,KIOWA,0,0,0,0,0,
06310,COLORADO                 ,KIT CARSON,0,0,0,0,0,
06320,COLORADO                 ,LAKE,0,0,0,0,0,
06330,COLORADO                 ,LA PLATA,0,0,0,0,0,
06340,COLORADO                 ,LARIMER,0,0,0,0,0,
06350,COLORADO                 ,LAS ANIMAS,0,0,0,0,0,
06360,COLORADO                 ,LINCOLN,0,0,-153,-386,-870,
06370,COLORADO                 ,LOGAN,0,0,0,0,0,
