Physician Geographic Practice Cost Indices by Calendar Year,,,,,,,,,,,,,,,,,,,,,,,,,
County Code,State,County Name,Locality 2014,Carrier 2014,GPCI WK 2008,GPCI WK 2009,GPCI WK 2010,GPCI WK 2011,GPCI WK 2012,GPCI WK 2013,GPCI WK 2014,GPCI PE 2008,GPCI PE 2009,GPCI PE 2010,GPCI PE 2011,GPCI PE 2012,GPCI PE 2013,GPCI PE 2014,GPCI MP 2008,GPCI MP 2009,GPCI MP 2010,GPCI MP 2011,GPCI MP 2012,GPCI MP 2013,GPCI MP 2014
01560,ALABAMA,Russell,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01570,ALABAMA,St. Clair,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01580,ALABAMA,Shelby,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01590,ALABAMA,Sumter,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01600,ALABAMA,Talladega,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01610,ALABAMA,Tallapoosa,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01620,ALABAMA,Tuscaloosa,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01630,ALABAMA,Walker,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01640,ALABAMA,Washington,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01650,ALABAMA,Wilcox,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01660,ALABAMA,Winston,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
02013,ALASKA,Aleutians East,02102,01,1.017,1.500,1.500,1.500,1.500,1.500,1.500,1.098,1.090,1.090,1.092,1.067,1.067,1.087,0.828,0.646,0.646,0.648,0.661,0.661,0.687
02016,ALASKA,Aleutians West,02102,01,1.017,1.500,1.500,1.500,1.500,1.500,1.500,1.098,1.090,1.090,1.092,1.067,1.067,1.087,0.828,0.646,0.646,0.648,0.661,0.661,0.687
02020,ALASKA,Anchorage,02102,01,1.017,1.500,1.500,1.500,1.500,1.500,1.500,1.098,1.090,1.090,1.092,1.067,1.067,1.087,0.828,0.646,0.646,0.648,0.661,0.661,0.687
02050,ALASKA,Bethel,02102,01,1.017,1.500,1.500,1.500,1.500,1.500,1.500,1.098,1.090,1.090,1.092,1.067,1.067,1.087,0.828,0.646,0.646,0.648,0.661,0.661,0.687
02060,ALASKA,Bristol Bay,02102,01,1.017,1.500,1.500,1.500,1.500,1.500,1.500,1.098,1.090,1.090,1.092,1.067,1.067,1.087,0.828,0.646,0.646,0.648,0.661,0.661,0.687
02068,ALASKA,Denali,02102,01,1.017,1.500,1.500,1.500,1.500,1.500,1.500,1.098,1.090,1.090,1.092,1.067,1.067,1.087,0.828,0.646,0.646,0.648,0.661,0.661,0.687
02070,ALASKA,Dillingham,02102,01,1.017,1.500,1.500,1.500,1.500,1.500,1.500,1.098,1.090,1.090,1.092,1.067,1.067,1.087,0.828,0.646,0.646,0.648,0.661,0.661,0.687
02090,ALASKA,Fairbanks North Star,02102,01,1.017,1.500,1.500,1.500,1.500,1.500,1.500,1.098,1.090,1.090,1.092,1.067,1.067,1.087,0.828,0.646,0.646,0.648,0.661,0.661,0.687
02100,ALASKA,Haines,02102,01,1.017,1.500,1.500,1.500,1.500,1.500,1.500,1.098,1.090,1.090,1.092,1.067,1.067,1.087,0.828,0.646,0.646,0.648,0.661,0.661,0.687
02110,ALASKA,Juneau,02102,01,1.017,1.500,1.500,1.500,1.500,1.500,1.500,1.098,1.090,1.090,1.092,1.067,1.067,1.087,0.828,0.646,0.646,0.648,0.661,0.661,0.687
02122,ALASKA,Kenai Peninsula,02102,01,1.017,1.500,1.500,1.500,1.500,1.500,1.500,1.098,1.090,1.090,1.092,1.067,1.067,1.087,0.828,0.646,0.646,0.648,0.661,0.661,0.687
02130,ALASKA,Ketchikan Gateway,02102,01,1.017,1.500,1.500,1.500,1.500,1.500,1.500,1.098,1.090,1.090,1.092,1.067,1.067,1.087,0.828,0.646,0.646,0.648,0.661,0.661,0.687
02150,ALASKA,Kodiak Island,02102,01,1.017,1.500,1.500,1.500,1.500,1.500,1.500,1.098,1.090,1.090,1.092,1.067,1.067,1.087,0.828,0.646,0.646,0.648,0.661,0.661,0.687
02164,ALASKA,Lake and Peninsula,02102,01,1.017,1.500,1.500,1.500,1.500,1.500,1.500,1.098,1.090,1.090,1.092,1.067,1.067,1.087,0.828,0.646,0.646,0.648,0.661,0.661,0.687
02170,ALASKA,Matanuska-Susitna,02102,01,1.017,1.500,1.500,1.500,1.500,1.500,1.500,1.098,1.090,1.090,1.092,1.067,1.067,1.087,0.828,0.646,0.646,0.648,0.661,0.661,0.687
02180,ALASKA,Nome,02102,01,1.017,1.500,1.500,1.500,1.500,1.500,1.500,1.098,1.090,1.090,1.092,1.067,1.067,1.087,0.828,0.646,0.646,0.648,0.661,0.661,0.687
02185,ALASKA,North Slope,02102,01,1.017,1.500,1.500,1.500,1.500,1.500,1.500,1.098,1.090,1.090,1.092,1.067,1.067,1.087,0.828,0.646,0.646,0.648,0.661,0.661,0.687
02188,ALASKA,Northwest Arctic,02102,01,1.017,1.500,1.500,1.500,1.500,1.500,1.500,1.098,1.090,1.090,1.092,1.067,1.067,1.087,0.828,0.646,0.646,0.648,0.661,0.661,0.687
02220,ALASKA,Sitka,02102,01,1.017,1.500,1.500,1.500,1.500,1.500,1.500,1.098,1.090,1.090,1.092,1.067,1.067,1.087,0.828,0.646,0.646,0.648,0.661,0.661,0.687
02240,ALASKA,Southeast Fairbanks,02102,01,1.017,1.500,1.500,1.500,1.500,1.500,1.500,1.098,1.090,1.090,1.092,1.067,1.067,1.087,0.828,0.646,0.646,0.648,0.661,0.661,0.687
02261,ALASKA,Valdez Cordova,02102,01,1.017,1.500,1.500,1.500,1.500,1.500,1.500,1.098,1.090,1.090,1.092,1.067,1.067,1.087,0.828,0.646,0.646,0.648,0.661,0.661,0.687
02270,ALASKA,Wade Hampton,02102,01,1.017,1.500,1.500,1.500,1.500,1.500,1.500,1.098,1.090,1.090,1.092,1.067,1.067,1.087,0.828,0.646,0.646,0.648,0.661,0.661,0.687
02282,ALASKA,Yakutat,02102,01,1.017,1.500,1.500,1.500,1.500,1.500,1.500,1.098,1.090,1.090,1.092,1.067,1.067,1.087,0.828,0.646,0.646,0.648,0.661,0.661,0.687
02290,ALASKA,Yukon-Koyukuk,02102,01,1.017,1.500,1.500,1.500,1.500,1.500,1.500,1.098,1.090,1.090,1.092,1.067,1.067,1.087,0.828,0.646,0.646,0.648,0.661,0.661,0.687
