DISABLED -- REPRICING ADJUSTMENTS TO THE 2008-2012 SKILLED NURSING FACILITY REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,
05450,CALIFORNIA               ,SAN BENITO,"14,804","13,688","8,539","2,547",889,,,,,,
05460,CALIFORNIA               ,SAN BERNARDINO,"219,912","67,265","118,343","25,119","62,955",,,,,,
05470,CALIFORNIA               ,SAN DIEGO,"912,793","904,820","676,478","498,764","521,412",,,,,,
05480,CALIFORNIA               ,SAN FRANCISCO,"332,833","318,902","241,605","269,922","215,078",,,,,,
05490,CALIFORNIA               ,SAN JOAQUIN,"518,032","476,078","471,648","467,030","241,008",,,,,,
05500,CALIFORNIA               ,SAN LUIS OBISPO,"28,148","32,945","29,297","20,189","7,383",,,,,,
05510,CALIFORNIA               ,SAN MATEO,"91,787","97,408","77,573","76,151","63,839",,,,,,
05520,CALIFORNIA               ,SANTA BARBARA,"90,508","64,702","68,997","85,263","37,588",,,,,,
05530,CALIFORNIA               ,SANTA CLARA,"398,524","332,542","268,009","192,144","57,959",,,,,,
05540,CALIFORNIA               ,SANTA CRUZ,"63,661","85,505","80,425","122,072","59,623",,,,,,
05550,CALIFORNIA               ,SHASTA,"168,637","113,369","91,773","61,708","-13,708",,,,,,
05560,CALIFORNIA               ,SIERRA,400,674,"2,313",214,123,,,,,,
05570,CALIFORNIA               ,SISKIYOU,"12,186","8,022","11,213","6,544","4,890",,,,,,
05580,CALIFORNIA               ,SOLANO,"127,455","147,980","145,297","152,798","112,727",,,,,,
05590,CALIFORNIA               ,SONOMA,"215,097","138,296","133,248","115,797","86,784",,,,,,
05600,CALIFORNIA               ,STANISLAUS,"244,663","211,323","187,548","242,621","173,622",,,,,,
05610,CALIFORNIA               ,SUTTER,"23,670","26,339","22,130","29,778","26,759",,,,,,
05620,CALIFORNIA               ,TEHAMA,"23,688","18,742","10,380","16,465","1,570",,,,,,
05630,CALIFORNIA               ,TRINITY,"21,506","11,595","23,505","10,026","-4,448",,,,,,
05640,CALIFORNIA               ,TULARE,"10,967","5,101","-16,492","-60,997","-37,700",,,,,,
05650,CALIFORNIA               ,TUOLUMNE,"28,457","7,926","13,463","19,709","15,101",,,,,,
05660,CALIFORNIA               ,VENTURA,"181,927","138,438","150,771","127,390","45,314",,,,,,
05670,CALIFORNIA               ,YOLO,"140,610","91,562","104,409","108,561","85,539",,,,,,
05680,CALIFORNIA               ,YUBA,"62,907","20,710","18,150","21,021","14,188",,,,,,
06000,COLORADO                 ,ADAMS,"-32,213","-42,954","-35,077","-44,224","-24,195",,,,,,
06010,COLORADO                 ,ALAMOSA,-109,-616,-147,"-1,567","-1,979",,,,,,
06020,COLORADO                 ,ARAPAHOE,"-36,656","-41,933","-50,256","-51,708","-27,998",,,,,,
06030,COLORADO                 ,ARCHULETA,126,-191,-107,-589,-359,,,,,,
06040,COLORADO                 ,BACA,0,0,-324,-404,-387,,,,,,
06050,COLORADO                 ,BENT,366,"1,052",-561,-914,"-1,284",,,,,,
06060,COLORADO                 ,BOULDER,"-36,354","-35,473","-33,446","-19,544","-27,706",,,,,,
06070,COLORADO                 ,CHAFFEE,801,560,-244,"-2,069","-1,888",,,,,,
06080,COLORADO                 ,CHEYENNE,0,0,-48,0,-46,,,,,,
06090,COLORADO                 ,CLEAR CREEK,"-1,755","-1,897",-714,-392,0,,,,,,
06100,COLORADO                 ,CONEJOS,110,281,"-1,413",0,-849,,,,,,
06110,COLORADO                 ,COSTILLA,37,-796,-299,-609,-508,,,,,,
06120,COLORADO                 ,CROWLEY,-261,444,-110,-806,-607,,,,,,
06130,COLORADO                 ,CUSTER,-78,0,-89,-41,-713,,,,,,
06140,COLORADO                 ,DELTA,"1,745","1,394","-1,225","-4,817","-5,939",,,,,,
06150,COLORADO                 ,DENVER,"-79,709","-106,641","-81,048","-78,377","-52,347",,,,,,
06160,COLORADO                 ,DOLORES,40,221,0,0,-626,,,,,,
06170,COLORADO                 ,DOUGLAS,"-5,794","-7,330","-4,726","-4,585","-3,224",,,,,,
06180,COLORADO                 ,EAGLE,-22,"-1,020",-498,"-1,431",-497,,,,,,
06190,COLORADO                 ,ELBERT,-503,"-1,653","-1,727",-996,-649,,,,,,
06200,COLORADO                 ,EL PASO,"-55,483","-82,907","-44,786","-38,503","-61,171",,,,,,
06210,COLORADO                 ,FREMONT,881,"-1,083","-3,223","-2,555","-4,925",,,,,,
06220,COLORADO                 ,GARFIELD,974,31,"-1,698","-4,095","-4,058",,,,,,
06230,COLORADO                 ,GILPIN,-428,-471,-415,0,-387,,,,,,
06240,COLORADO                 ,GRAND,0,0,-932,-584,"-1,227",,,,,,
06250,COLORADO                 ,GUNNISON,4,-47,-121,0,0,,,,,,
06260,COLORADO                 ,HINSDALE,0,0,0,0,0,,,,,,
06270,COLORADO                 ,HUERFANO,"-1,971",0,-655,-756,-956,,,,,,
06280,COLORADO                 ,JACKSON,-145,-10,0,0,0,,,,,,
06290,COLORADO                 ,JEFFERSON,"-38,991","-44,804","-36,387","-37,310","-27,880",,,,,,
06300,COLORADO                 ,KIOWA,-73,0,0,0,-467,,,,,,
06310,COLORADO                 ,KIT CARSON,0,0,0,-140,-635,,,,,,
06320,COLORADO                 ,LAKE,0,0,0,-356,0,,,,,,
06330,COLORADO                 ,LA PLATA,"1,330","1,286","-1,092","-1,894","-4,904",,,,,,
06340,COLORADO                 ,LARIMER,"-11,759","-21,720","-33,103","-23,037","-13,850",,,,,,
06350,COLORADO                 ,LAS ANIMAS,-34,-175,"-1,632","-3,218","-4,209",,,,,,
06360,COLORADO                 ,LINCOLN,"-1,097",-544,-419,0,-308,,,,,,
06370,COLORADO                 ,LOGAN,43,539,"-1,464","-1,748","-5,940",,,,,,
06380,COLORADO                 ,MESA,"-9,844","-15,626","-13,156","-16,199","-4,124",,,,,,
06390,COLORADO                 ,MINERAL,0,0,0,0,0,,,,,,
06400,COLORADO                 ,MOFFAT,62,"2,176",0,-364,-645,,,,,,
06410,COLORADO                 ,MONTEZUMA,740,818,"-1,057","-2,309","-2,382",,,,,,
06420,COLORADO                 ,MONTROSE,"1,001","2,253","-2,147","-1,375","-5,757",,,,,,
06430,COLORADO                 ,MORGAN,"1,346","2,273","-1,674","-1,161","-4,622",,,,,,
06440,COLORADO                 ,OTERO,-372,"1,596","-2,833","-3,690","-5,169",,,,,,
06450,COLORADO                 ,OURAY,112,0,0,-88,0,,,,,,
