HHA Wage Indices by Fiscal Year,,,,,,,,,,
County code,State,County name,CBSA 2014,HHA Wage 2008,HHA Wage 2009,HHA Wage 2010,HHA Wage 2011,HHA Wage 2012,HHA Wage 2013,HHA Wage 2014
04380,AR,LEE,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04390,AR,LINCOLN,38220,0.7839,0.7926,0.7281,0.8012,0.7700,0.7864,0.8103
04400,AR,LITTLE RIVER,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04410,AR,LOGAN,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04420,AR,LONOKE,30780,0.8863,0.8672,0.8559,0.8546,0.8558,0.8614,0.8661
04430,AR,MADISON,22220,0.8742,0.8970,0.8775,0.8616,0.9263,0.9308,0.8993
04440,AR,MARION,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04450,AR,MILLER,45500,0.7770,0.8144,0.8113,0.7748,0.7937,0.7985,0.7459
04460,AR,MISSISSIPPI,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04470,AR,MONROE,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04480,AR,MONTGOMERY,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04490,AR,NEVADA,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04500,AR,NEWTON,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04510,AR,OUACHITA,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04520,AR,PERRY,30780,0.8863,0.8672,0.8559,0.8546,0.8558,0.8614,0.8661
04530,AR,PHILLIPS,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04540,AR,PIKE,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04550,AR,POINSETT,27860,0.7790,0.7916,0.7722,0.7757,0.7718,0.8102,0.8017
04560,AR,POLK,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04570,AR,POPE,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04580,AR,PRAIRIE,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04590,AR,PULASKI,30780,0.8863,0.8672,0.8559,0.8546,0.8558,0.8614,0.8661
04600,AR,RANDOLPH,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04610,AR,ST. FRANCIS,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04620,AR,SALINE,30780,0.8863,0.8672,0.8559,0.8546,0.8558,0.8614,0.8661
04630,AR,SCOTT,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04640,AR,SEARCY,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04650,AR,SEBASTIAN,22900,0.7933,0.7697,0.7861,0.7599,0.7620,0.7865,0.7588
04660,AR,SEVIER,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04670,AR,SHARP,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04680,AR,STONE,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04690,AR,UNION,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04700,AR,VAN BUREN,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04710,AR,WASHINGTON,22220,0.8742,0.8970,0.8775,0.8616,0.9263,0.9308,0.8993
04720,AR,WHITE,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04730,AR,WOODRUFF,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04740,AR,YELL,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04999,AR,STATEWIDE,NA,0.7371,0.7473,0.7332,0.7222,0.7194,n/a ,0.7374
05000,CA,ALAMEDA,36084,1.5685,1.6092,1.6404,1.6354,1.6080,1.6626,1.7061
05010,CA,ALPINE,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697
05020,CA,AMADOR,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697
05030,CA,BUTTE,17020,1.1290,1.0897,1.1198,1.1533,1.1094,1.1222,1.1637
05040,CA,CALAVERAS,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697
05050,CA,COLUSA,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697
05060,CA,CONTRA COSTA,36084,1.5685,1.6092,1.6404,1.6354,1.6080,1.6626,1.7061
05070,CA,DEL NORTE,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697
05080,CA,EL DORADO,40900,1.3505,1.3572,1.4073,1.4053,1.3777,1.4350,1.5211
05090,CA,FRESNO,23420,1.0993,1.1009,1.1267,1.1422,1.1281,1.1618,1.1817
05100,CA,GLENN,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697
05110,CA,HUMBOLDT,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697
05120,CA,IMPERIAL,20940,0.8914,0.8746,0.8766,0.9258,0.9601,0.8621,0.8885
05130,CA,INYO,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697
05140,CA,KERN,12540,1.1051,1.1189,1.1232,1.1707,1.1817,1.1210,1.1730
05150,CA,KINGS,25260,1.0499,1.0870,1.1010,1.1205,1.0700,1.1017,1.1171
05160,CA,LAKE,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697
05170,CA,LASSEN,NA,1.2023,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697
05200,CA,LOS ANGELES,31084,1.1771,1.2208,1.2039,1.2130,1.2287,1.2207,1.2315
05210,CA,LOS ANGELES,31084,1.1771,1.2208,1.2039,1.2130,1.2287,1.2207,1.2315
05300,CA,MADERA,31460,0.8069,0.7939,0.7958,0.7986,0.8114,0.8068,0.8352
05310,CA,MARIN,41884,1.5195,1.5529,1.5874,1.5733,1.5904,1.6862,1.6200
