"ESRD - HOSPICE - 2012 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL,PART A TOTAL,PART A REIMBURSEMENT,PART A PER CAPITA,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL,PART B PER CAPITA,
04290,ARKANSAS                 ,HOT SPRING             ,39,2107,54.03,2107,54.03,0,0,0,38,0,0,
04300,ARKANSAS                 ,HOWARD                 ,21,7031,334.81,7032,334.86,0,0,0,19,0,0,
04310,ARKANSAS                 ,INDEPENDENCE           ,40,1563,39.08,1564,39.1,0,0,0,39,0,0,
04320,ARKANSAS                 ,IZARD                  ,9,2475,275,2476,275.11,0,0,0,9,0,0,
04330,ARKANSAS                 ,JACKSON                ,21,1042,49.62,1043,49.67,0,0,0,19,0,0,
04340,ARKANSAS                 ,JEFFERSON              ,166,63107,380.16,63106,380.16,0,0,0,158,0,0,
04350,ARKANSAS                 ,JOHNSON                ,31,0,0,0,0,0,0,0,30,0,0,
04360,ARKANSAS                 ,LAFAYETTE              ,16,0,0,0,0,0,0,0,14,0,0,
04370,ARKANSAS                 ,LAWRENCE               ,20,1433,71.65,1433,71.65,0,0,0,19,0,0,
04380,ARKANSAS                 ,LEE                    ,19,0,0,0,0,0,0,0,19,0,0,
04390,ARKANSAS                 ,LINCOLN                ,14,0,0,0,0,0,0,0,14,0,0,
04400,ARKANSAS                 ,LITTLE RIVER           ,20,9380,469,9380,469,0,0,0,18,0,0,
04410,ARKANSAS                 ,LOGAN                  ,20,1295,64.75,1296,64.8,0,0,0,20,0,0,
04420,ARKANSAS                 ,LONOKE                 ,71,0,0,0,0,0,0,0,65,0,0,
04430,ARKANSAS                 ,MADISON                ,24,29281,1220.04,29281,1220.04,0,0,0,23,0,0,
04440,ARKANSAS                 ,MARION                 ,15,1331,88.73,1331,88.73,0,0,0,14,0,0,
04450,ARKANSAS                 ,MILLER                 ,71,24259,341.68,24258,341.66,0,0,0,68,0,0,
