DISABLED -- REPRICING ADJUSTMENTS TO THE 2008-2012 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,,,,,
,,,"2,008","2,009","2,010","2,011","2,012",,,,,,,,,,,
04490,ARKANSAS                 ,NEVADA,"-7,489","-16,349","-5,529","-9,946","2,413",,,,,,,,,,,
04500,ARKANSAS                 ,NEWTON,"-11,392","-6,993","-11,329","-10,114","-14,768",,,,,,,,,,,
04510,ARKANSAS                 ,OUACHITA,"-25,187","-27,256","-24,979","-5,458","-27,568",,,,,,,,,,,
04520,ARKANSAS                 ,PERRY,"-5,087","-24,947","-12,770","-23,798","-4,678",,,,,,,,,,,
04530,ARKANSAS                 ,PHILLIPS,"-6,939","16,087","7,498","-6,674","28,226",,,,,,,,,,,
04540,ARKANSAS                 ,PIKE,"-18,288","-11,060","-5,098","-14,194","-8,183",,,,,,,,,,,
04550,ARKANSAS                 ,POINSETT,"-110,844","-125,499","-75,174","-43,865","-92,306",,,,,,,,,,,
04560,ARKANSAS                 ,POLK,"14,700","11,276","-8,235","-11,924","-16,470",,,,,,,,,,,
04570,ARKANSAS                 ,POPE,"-188,595","-131,911","-182,875","-144,135","-148,852",,,,,,,,,,,
04580,ARKANSAS                 ,PRAIRIE,"-33,477","-35,599","-35,514","-12,981","-20,030",,,,,,,,,,,
04590,ARKANSAS                 ,PULASKI,"-40,269","105,234","24,579","139,815","158,869",,,,,,,,,,,
04600,ARKANSAS                 ,RANDOLPH,"-31,191","-35,822","-43,203","-59,556","-24,147",,,,,,,,,,,
04610,ARKANSAS                 ,ST. FRANCIS,"-46,052","38,069","-3,927","33,480","32,431",,,,,,,,,,,
04620,ARKANSAS                 ,SALINE,"-53,693","-20,625","-18,562","-4,335","1,999",,,,,,,,,,,
04630,ARKANSAS                 ,SCOTT,"-3,061","-26,536","-25,748","-20,930",506,,,,,,,,,,,
04640,ARKANSAS                 ,SEARCY,"-28,715","-6,486","-8,415","-16,880","-26,935",,,,,,,,,,,
04650,ARKANSAS                 ,SEBASTIAN,"33,700","-29,263","-117,327","-90,484","-24,297",,,,,,,,,,,
04660,ARKANSAS                 ,SEVIER,"-23,101","-12,913","-4,334","-35,451","-21,308",,,,,,,,,,,
04670,ARKANSAS                 ,SHARP,"-86,819","-92,373","-111,684","-107,474","-102,496",,,,,,,,,,,
04680,ARKANSAS                 ,STONE,"-45,640","-12,485","-40,993","-43,112","-28,840",,,,,,,,,,,
